[Tue Jul 31 00:36:05 2018] [notice] Apache/2.2.11 (Win32) PHP/5.3.0 configured -- resuming normal operations
[Tue Jul 31 00:36:05 2018] [notice] Server built: Dec 10 2008 00:10:06
[Tue Jul 31 00:36:05 2018] [notice] Parent: Created child process 13020
[Tue Jul 31 00:36:05 2018] [notice] Child 13020: Child process is running
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Acquired the start mutex.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting 64 worker threads.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting thread to listen on port 80.
[Tue Jul 31 01:58:27 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:58:57 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:00:14 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:01:24 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:02:27 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:07:00 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:07:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:07:48 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:16:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:22:04 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:30:51 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 02:40:56 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 11:54:53 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
[Tue Jul 31 12:05:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
